"","TEMP","PRES","DEWP","RAIN","WSPM","wd.E","wd.ENE","wd.ESE","wd.N","wd.NE","wd.NNE","wd.NNW","wd.NW","wd.S","wd.SE","wd.SSE","wd.SSW","wd.SW","wd.W","wd.WNW","wd.WSW","CO_AQI","PM10_AQI","SO2_AQI","NO2_AQI","O3_AQI","AQI","season","RAIN_cat","month","AQI_cat_bin","AQI_cat","AQI_cat_prev1"
"1",0.35,0.74,0.23,0,0.53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03,0.01,0.07,0.09,0.28,0.02,1,0,0.18,0,0,0
"2",0.33,0.74,0.28,0,0.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0.25,0.34,0.13,0.05,1,0,0.18,0,0,0
"3",0.44,0.5,0.34,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.16,0.21,0.44,0.43,0.09,0.2,1,0,0.18,0,2,0
"4",0.53,0.56,0.35,0,0.38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.07,0.16,0.24,0.25,0.06,1,0,0.18,0,0,0
"5",0.45,0.43,0.42,0,0.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.33,0.7,0.75,0.32,0.32,1,0,0.18,1,3,0
"6",0.47,0.36,0.48,0,0.22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.33,0.48,0.87,0.81,0.09,0.47,1,0,0.18,1,4,1
"7",0.52,0.26,0.52,0,0.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4,0.58,0.72,0.85,0.18,0.57,1,0,0.18,1,4,1
"8",0.52,0.21,0.53,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.5,0.52,0.69,0.38,0.5,1,0,0.18,1,4,1
"9",0.47,0.3,0.38,0,0.56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.33,0.24,0.23,0.34,0.32,1,0,0.18,1,3,1
"10",0.43,0.62,0.33,0,0.39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.06,0.12,0.16,0.25,0.38,0.1,1,0,0.18,0,1,1
"11",0.44,0.49,0.44,0,0.23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.17,0.32,0.64,0.5,0.35,0.31,1,0,0.18,1,3,0
"12",0.42,0.39,0.57,0.01,0.15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.21,0.19,0.39,0.17,0.2,1,1,0.18,0,2,1
"13",0.42,0.66,0.38,0,0.37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0.11,0.17,0.33,0.03,1,0,0.18,0,0,0
"14",0.4,0.64,0.49,0,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.13,0.19,0.37,0.37,0.31,0.18,1,0,0.18,0,1,0
"15",0.45,0.5,0.53,0,0.21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.45,0.56,0.55,0.2,0.45,1,0,0.18,1,4,0
"16",0.52,0.55,0.56,0,0.26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23,0.47,0.52,0.5,0.31,0.46,1,0,0.18,1,4,1
"17",0.53,0.26,0.6,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.28,0.56,0.56,0.65,0.46,0.56,1,0,0.18,1,4,1
"18",0.5,0.24,0.39,0,0.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,0.21,0.14,0.24,0.42,0.2,1,1,0.18,0,2,1
"19",0.36,0.39,0.53,0.04,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.07,0.08,0.11,0.25,0.09,0.07,1,1,0.18,0,0,0
"20",0.35,0.55,0.5,0.03,0.32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08,0.08,0.08,0.2,0.14,0.07,0.33,1,0.18,0,0,0
"21",0.4,0.31,0.53,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.29,0.15,0.47,0.05,0.28,0.33,0,0.18,0,2,0
"22",0.45,0.44,0.47,0,0.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.26,0.18,0.38,0.15,0.25,0.33,0,0.18,0,2,0
"23",0.42,0.38,0.44,0,0.38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.13,0.15,0.21,0.3,0.13,0.14,0.33,0,0.18,0,1,0
"24",0.43,0.54,0.33,0,0.43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.13,0.06,0.08,0.17,0.24,0.05,0.33,0,0.18,0,0,0
"25",0.43,0.52,0.46,0,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.12,0.25,0.38,0.47,0.13,0.24,0.33,0,0.18,0,2,0
"26",0.46,0.37,0.54,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.18,0.45,0.56,0.59,0.05,0.45,0.33,0,0.18,1,4,0
